id,tag,question,options,correct_answer,type,font_size
12,第一组单选必答,12. 同一基金经理管理的公募基金和私募资产管理计划数量原则上不超过几只（完全按照有关指数的构成比例进行投资的产品除外）。,A、10|B、9|C、11|D、8,A,single,60
1,第一组多选必答,1. 分支机构利用新媒体进行直播时，参与出镜直播的人员需要具备的条件是（   ）。,A、具备 2 年及以上证券从业经验|B、同时具备证券投资顾问及基金从业资格|C、近 3 年无被投诉记录|D、近 3 年未受到公司处罚问责，未被监管部门或行业自律组织 采取书面监管提示或关注、自律管理措施或纪律处分、行政监管措施、 行政处罚，未被司法机关刑事处罚|E、近5年无被投诉记录,ABCD,multiple,60
2,第一组多选必答,2. 分支机构员工应使用公司统一配置的展业系统（   ）进行客户营销服务。,A、两端呼电话|B、CRM 短信|C、OA 邮箱|D、企业微信|E、个人微信,ABCD,multiple,60
3,第一组多选必答,3. 出现以下哪种情形，上交所将终止其股票上市？,A、连续120个交易日实现的累计股票成交量低于200万股|B、连续20个交易日股票收盘价均低于股票面值|C、连续20个交易日股票市值均低于3亿元|D、连续20个交易日股东数量均低于500人,ABC,multiple,60
4,第一组多选必答,4. A股股票交易中，投资者需要缴纳交易所、证监会、中国结算的费用包括？,A、过户费|B、证管费|C、经手费|D、结算费,ABC,multiple,60
5,第一组多选必答,5. 《中华人民共和国民法典》抵押权的规定，设立抵押权，当事人应当采用书面形式订立抵押合同。抵押合同一般包括下列条款（  ）。,A、被担保债权的种类和数额|B、债务人履行债务的期限|C、抵押财产的名称、数量等情况|D、担保的范围,ABCD,multiple,60
6,第一组多选必答,6. 依据《中华人民共和国反垄断法》的规定，禁止具有市场支配地位的经营者从事下列滥用市场支配地位的行为（  ）：,A、没有正当理由，以低于成本的价格销售商品|B、没有正当理由，拒绝与交易相对人进行交易|C、以不公平的高价销售商品或者以不公平的低价购买商品|D、没有正当理由搭售商品，或者在交易时附加其他不合理的交易条件|E、没有正当理由，以高于成本的价格销售商品,ABCD,multiple,60
1,第一组20分题,1. （单选）党的二十大报告中提出，高质量发展是全面建设社会主义现代化国家的什么？,A、中心任务|B、核心任务|C、第一要务|D、首要任务,D,single,60
2,第一组20分题,2. （单选）党的二十大报告中，为优化区域开放布局，要加快建设哪个地区自由贸易港？,A、广州|B、上海|C、海南|D、澳门,C,single,60
3,第一组20分题,3. （单选）为全面构建亲清政商关系，要促进什么类型经济健康发展？,A、国有经济|B、民营经济|C、个体经济|D、非公有制经济,D,single,60
4,第一组20分题,4. （单选）党的二十大报告提出，要全方位夯实什么安全根基？,A、能源|B、粮食|C、意识形态|D、服务业,B,single,60
5,第一组20分题,5. （单选）党组织对违反党的纪律的党员，应本着（  ）的精神，按照错误性质和情节轻重，给予批评教育直至纪律处分。,A、惩前毖后、治病救人|B、批评与自我批评|C、党要管党、从严治党|D、教育为主,A,single,60
6,第一组20分题,6. （单选）某党员干部占用公物达6个月，应给予警告处分，但同时该党员又违反规定从事营利活动，情节严重，应给予开除党籍处分，对于该同志的处分应该是（   ）。,A、先警告再开除党籍|B、开除党籍|C、分别处理|D、警告,B,single,60
7,第一组20分题,7. （单选）禁止利用职权和职务上的影响为亲属及身边工作人员谋取利益。不准允许、纵容配偶、子女及其配偶在（   ）工商注册登记后，到本人管辖的地区和业务范围内从事可能与公共利益发生冲突的经商、办企业活动。,A、异地|B、本地|C、国外,A,single,55
8,第一组20分题,8. （单选）利用职权或者职务上的影响，为配偶、子女及其配偶等亲属和其他特定关系人在审批监管、资源开发、金融信贷、大宗采购、土地使用权出让、房地产开发、工程招投标以及公共财政支出等方面谋取利益，视情节给予警告至（ ）处分。利用职权或者职务上的影响，为配偶、子女及其配偶等亲属和其他特定关系人吸收存款、推销金融产品等提供帮助谋取利益的，依照前款规定处理。,A、严重警告|B、撤销党内职务|C、留党察看|D、开除党籍,D,single,45
9,第一组20分题,"9. （单选）关于指数基金,以下表述错误的是","A、指数基金就是按照指数构成的标准购买该指数包含的证券市场中的全部或者一部分证券的基金|B、ETF 联接基金主要投资于标的指数股票|C、ETF 基金是上市的指数基金|D、指数基金不主动寻求超越市场的表现,而是试图复制指数的表现",B,single,60
10,第一组20分题,"10. （单选）关于基金分类,以下说法正确的是",A、基金资产 60%投资于债券的为债券型基金|B、基金资产 60%投资于殷票的为股票型基金|C、货币市场基金仅投资于货币市场工具|D、基金中的基金仅投资于其他基金份额,C,single,60
11,第一组20分题,11. （单选）以下基金中，不需要披露上市交易公告书的是,A、中证500ETF联接基金|B、积极配置证券投资基金（LOF）|C、创业板ETF|D、上证50ETF,A,single,60
12,第一组20分题,12. （单选）基金公司在投资管理过程中会产生不同的风险。其中因投资组合无法应付客户赎回要求所引起的风险，属于,A、信用风险|B、市场风险|C、流动性风险|D、操作风险,C,single,60
1,第一组40分题,1. （单选）开放式基金杠杆率最高不得超过（），定开基金封闭期杠杆率最高不得超过（）,A、140%；140%|B、140%；200%|C、200%；140%|D、200%；200%,B,single,60
2,第一组40分题,2. （单选）对除货币市场基金与交易型开放式指数基金以外的开放式基金，管理人对持续持有期少于 7 日的投资者将收取不低于 （）的赎回费,A、0.001|B、0.005|C、0.01|D、0.015,D,single,60
3,第一组40分题,3. （多选）（多选）投顾平台中客户需要登录资金账号才可查看的内容为,A、消息中心投顾签约服务信息|B、消息中心资讯内容|C、热点先锋文章正文内容|D、看直播模块中文字直播间内容,AC,multiple,60
4,第一组40分题,4. （单选）关于仙人涨签约下列说法不正确的是？,A、仙人涨产品签约资产门槛最低1万元|B、仙人涨支持7*24小时签约|C、仙人涨签约后产品实时生效|D、仙人涨签约上限为5款,C,single,60
5,第一组40分题,5. （多选）（多选）下列有关投顾产品仓位限制说法不正确的是？,A、单只股票仓位上限为20%|B、单只股票仓位上限为30%|C、创业板和科创板股票合计仓位不超过30%|D、创业板和科创板股票合计仓位不超过20%,BD,multiple,60
6,第一组40分题,6. （单选）签约投顾产品时以下哪种情况不会提佣,A、签约后买入前期仙人涨的持仓个股|B、签约前已有某个股持仓，产品推荐后再次跟盘买入，次日跟盘盈利卖出|C、跟盘买入某股票，自行亏损卖出|D、跟盘买入某股票，自行盈利卖出,B,single,60
7,第一组40分题,7. （多选）（多选）以下哪些邮箱后缀不可以通过企福临门-企业邮箱认证完成认证流程,A、@qq.com|B、@163.com|C、@cijae.com|D、@rtucom,AB,multiple,60
8,第一组40分题,8. （多选）（多选）私募证券投资基金的投资范围主要包括哪些？,A、股票、存托凭证|B、债券、资产支持证券|C、期货合约、期权合约|D、互换合约、远期合约|E、中国证监会认 可的其他资产,ABCDE,multiple,60
9,第一组40分题,9. （单选）混合类私募证券投资基金是指投资于哪些资产的比例符合前述资产标准的基金？,A、固定收益类|B、权益类|C、期货和衍生品类|D、母基金,D,single,60
10,第一组40分题,10. （多选）以下说法正确的有哪些？,A、固定收益类私募证券基金优先级与劣后级的比例不得超过 3:1|B、混合类私募证券基金优先级与 劣后级的比例不得超过 2:1|C、期货和衍生品类私募证券基金优先级与 劣后级的比例不得超过 2:1|D、权益类私募证券基金的优先级 与劣后级的比例不得超过 1:1,ABCD,multiple,55
11,第一组40分题,11. （多选）中信建投基金专户体系的构成有哪些类,A、固收类|B、固收+系列|C、FOF类|D、对冲类|E、权益、战配类,ABCDE,multiple,60
12,第一组40分题,12. （多选）下列哪些与基金有关的费用可以从基金财产中列支？,A、基金管理人的管理费|B、基金托管人的托管费|C、基金合同生效后的会计师费和律师费|D、基金份额持有人大会费用|E、基金的证券交易费用|F、按照国家有关规定和基金合同约定，可以在基金财产中列支的其他费用。,ABCDEF,multiple,55
1,第一组60分题,1. （单选）对投资者的宣传材料里，可以展示的业绩内容是？,A、预期收益率|B、未经托管行复核的收益率|C、产品定期报告内的数据|D、天天基金平台上截图的数据,C,single,60
2,第一组60分题,2. （单选）以下哪只基金属于利率债基金？,A、中信建投中债3-5年政策性金融债指数证券投资基金|B、中信建投景荣债券型证券投资基金|C、中信建投稳益90天滚动持有中短债债券型证券投资基金|D、中信建投双利3个月持有期债券型证券投资基金,A,single,60
3,第一组60分题,3. （多选）下列不属于中信财富广场年度主题活动的是：,A、双11狂欢节|B、中信财富节|C、818理财节|D、疯狂星期四,ACD,multiple,60
4,第一组60分题,4. （单选）假设客户开仓时信用账户维持担保比例为200%，科创板证券集中度为20%。在其他条件不变的条件下，客户科创板证券跌幅为90%，非科创板证券跌幅为30%，客户信用账户维持担保比例变为,A、1|B、1.1|C、1.16|D、1.3,C,single,55
5,第一组60分题,5. （多选）网格交易plus条件单较基础网格交易条件单的新功能不包括哪些？,A、网格交易plus条件单支持买方向设置反弹买入/卖方向设置回落卖出，而基础网格交易条件单不支持|B、网格交易plus条件单支持非对称网格（买卖方向设置不同委托数量），而基础网格交易条件单不支持|C、网格交易plus条件单支持选择按成交价格更新基准价，而基础网格交易条件单不支持|D、网格交易plus条件单支持按照最大持仓最小底仓的方式控制仓位，而基础网格交易条件单不支持,BD,multiple,50
6,第一组60分题,6. （单选）如果需要获取最新版的机构业务服务及产品手册，可以去机构客户图谱系统的哪个功能模块中获取？,A、机构客户|B、战略客户|C、数据分析|D、知识库,D,single,60
7,第一组60分题,7. （单选）机构客户图谱系统收集了公司各部门及分支机构与机构客户的合作信息，不可用于,A、全体员工展示公司整体与机构客户业务合作的全景|B、使员工轻松了解目标客户及同类客户有哪些合作空间|C、判断客户的归属|D、提供协作开发和借力开发的路径,C,single,60
8,第一组60分题,8. （多选）算法交易的优点包括,A、隐藏交易目的|B、降低交易成本|C、提高了交易效率|D、确保复杂的策略（如篮子单）得以执行,ABCD,multiple,60
9,第一组60分题,9. （多选）下面哪些是股东增减持时，通常会遇到的问题,A、对二级市场不熟悉，没有专门交易团队|B、涉及股票量大，时间周期长，交易费时费力|C、缺乏合理的交易周期规划，交易效果不理想|D、减持涉及到的规则限制多，公告义务繁琐、梳理弄清相关规则耗时耗力。,ABCD,multiple,60
10,第一组60分题,10. （多选）通过参加模拟交易比赛，客户可以,A、了解两融基础交易规则|B、熟悉两融交易操作|C、获得两融交易收益|D、测试交易策略效果,ABD,multiple,60
11,第一组60分题,11. （单选）客户想要快速减仓，抢涨停板等机会捕捉，以下哪些两融智能化交易服务不能满足客户交易需求？,A、T-PLUS快速成交算法|B、FAST极速成交算法|C、BS智能买卖策略|D、SP篮子监控策略,C,single,60
12,第一组60分题,12. （多选）客户想要换仓、调仓、减少市场波动，以下哪些两融智能化交易服务不能满足客户交易需求？,A、POV市场跟比算法|B、STRICT-TWAP严格时间平均算法|C、BS智能买卖策略|D、SP篮子监控策略,CD,multiple,60
5,第一组加赛题,5. （多选50分）《中华人民共和国民法典》第七章合同的权利义务终止之规定，有下列情形（  ）的，当事人可以解除合同。,A、因不可抗力致使不能实现合同目的|B、在履行期限届满前，当事人一方明确表示或者以自己的行为表明不履行主要债务|C、当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行|D、当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的|E、法律规定的其他情形|F、以持续履行的债务为内容的不定期合同，当事人在合理期限之前通知对方的，可以随时解除合同,ABCDEF,multiple,50
6,第一组加赛题,6. （多选10分）固收宝（报价回购）与国债逆回购的相同点有：,A、本质都是交易所质押式逆回购|B、可用资金即可交易|C、到期可用日计算规则相同|D、计息天数计算规则相同,ABCD,multiple,60
2,第一组加赛题,2. （多选20分）精选精选全球债组合，在哪些情况下收益可能不及预期？,A、美国通胀超预期|B、人民币升值超预期|C、美国通胀低于预期|D、人民币贬值超预期,AB,multiple,60
3,第一组加赛题,3. （多选30分）网格交易plus条件单较基础网格交易条件单有哪些新功能？,A、网格交易plus条件单支持买方向设置反弹买入/卖方向设置回落卖出，而基础网格交易条件单不支持|B、网格交易plus条件单支持非对称网格（买卖方向设置不同委托数量），而基础网格交易条件单不支持|C、网格交易plus条件单支持选择按成交价格更新基准价，而基础网格交易条件单不支持|D、网格交易plus条件单支持按照最大持仓最小底仓的方式控制仓位，而基础网格交易条件单不支持,AC,multiple,50
1,第一组加赛题,1. （多选60分）下面关于家族信托委托人的表述，错误的是,A、委托人是自然人|B、委托人可以是外籍公民|C、委托人可以将本应偿债的资金置入信托|D、委托人在家族信托成立后，就失去了对信托控制的权利,BCD,multiple,60
4,第一组加赛题,4. （多选40分）以下关于债券融资回购交易一般风控指标描述正确的有（   ）。,A、回购标准券使用率=融资回购交易未到期金额/质押券对应的标准券总量，按照回购融资主体核算。|B、回购融资负债率=融资回购交易未到期金额/债券托管量，按回购融资主体核算。|C、信用类债券入库集中度占比=单只信用类债券单市场入库量/该只债券全市场托管量，按回购融资主体核算。|D、单一发行人信用类债券入库担保集中度的计算公式为：单一发行人信用类债券入库担保集中度=单一发行人信用类债券入库量/入库质押券总量，按回购融资主体核算。,BCD,multiple,42
